Time (s),Section,Text,Anger Score,RMS,Brightness,Motion
34.1,,,0.9000,0.013254,55.399456,6.560585
34.2,,,0.9000,0.013023,52.236175,6.437317
34.3,,,0.9000,0.012792,52.502823,6.314049
34.4,,,0.9000,0.012560,52.523496,6.190781
34.5,,,0.9000,0.012329,54.764778,6.067513
34.6,,,0.9000,0.012098,38.189504,5.944245
34.7,,,0.9000,0.011866,38.483733,5.820977
34.8,,,0.9000,0.011635,38.693405,5.697709
34.9,,,0.9000,0.011404,38.894031,5.574441
35.0,,,0.9000,0.011173,39.088641,5.451173
35.1,,,0.9000,0.011170,44.157384,5.090271
35.2,,,0.9000,0.011167,47.046974,4.729369
35.3,,,0.9000,0.011164,49.635498,4.368467
35.4,,,0.9000,0.011161,53.138933,4.007565
35.5,,,0.9000,0.011158,59.016485,3.646663
35.6,,,0.9000,0.011156,61.494139,3.285761
35.7,,,0.9000,0.011153,62.114412,2.924859
35.8,,,0.9000,0.011150,119.087192,2.563957
35.9,,,0.9000,0.011147,108.510995,2.203055
36.0,,,0.9000,0.011144,84.516484,1.842153
36.1,,,0.9000,0.013406,54.873071,1.735957
36.2,,,0.9000,0.015668,55.041848,1.629762
36.3,,,0.9000,0.017930,54.970083,1.523566
36.4,,,0.9000,0.020193,54.134589,1.417371
36.5,,,0.9000,0.022455,53.337610,1.311176
36.6,,,0.9000,0.024717,43.855186,1.204980
36.7,,,0.9000,0.026979,43.861204,1.098785
36.8,,,0.9000,0.029241,56.821864,0.992589
36.9,,,0.9000,0.031503,56.480289,0.886394
37.0,,,0.9000,0.033765,56.742450,0.780198
37.1,,,0.9000,0.033667,56.560284,0.726957
37.2,,,0.9000,0.033569,73.357623,0.673716
37.3,,,0.9000,0.033470,61.387757,0.620475
37.4,,,0.9000,0.033372,67.007885,0.567234
37.5,,,0.9000,0.033274,36.631776,0.513992
37.6,,,0.9000,0.033175,68.724878,0.460751
37.7,,,0.9000,0.033077,76.343701,0.407510
37.8,,,0.9000,0.032979,78.904486,0.354269
37.9,,,0.9000,0.032880,72.641710,0.301027
38.0,,,0.9000,0.032782,47.061833,0.247786
38.1,,,0.9000,0.034686,46.988357,0.583248
38.2,,,0.9000,0.036589,46.972787,0.918710
38.3,,,0.9000,0.038493,107.646874,1.254172
38.4,,,0.9000,0.040396,107.378444,1.589634
38.5,,,0.9000,0.042300,92.728072,1.925096
38.6,,,0.9000,0.044203,92.003888,2.260558
38.7,,,0.9000,0.046107,39.982870,2.596020
38.8,,,0.9000,0.048010,38.114131,2.931482
38.9,,,0.9000,0.049914,72.284208,3.266944
39.0,,,0.9000,0.051817,69.096937,3.602406
39.1,,,0.9000,0.050007,67.734798,3.510641
39.2,,,0.9000,0.048196,67.020870,3.418875
39.3,,,0.9000,0.046385,66.349103,3.327109
39.4,,,0.9000,0.044574,33.688112,3.235343
39.5,,,0.9000,0.042763,34.675555,3.143577
39.6,,,0.9000,0.040953,34.660024,3.051811
39.7,,,0.9000,0.039142,34.653832,2.960045
39.8,,,0.9000,0.037331,34.649503,2.868279
39.9,,,0.9000,0.035520,61.793238,2.776513
40.0,,,0.9000,0.033709,61.888870,2.684747
40.1,,,0.9000,0.032262,61.680627,2.510637
40.2,,,0.9000,0.030814,61.678386,2.336526
40.3,,,0.9000,0.029367,61.640439,2.162416
40.4,,,0.9000,0.027919,61.691591,1.988305
40.5,,,0.9000,0.026472,61.680146,1.814194
40.6,,,0.9000,0.025024,46.126447,1.640084
40.7,,,0.9000,0.023577,43.580704,1.465973
40.8,,,0.9000,0.022130,29.472927,1.291863
40.9,,,0.9000,0.020682,59.013428,1.117752
41.0,,,0.9000,0.019235,59.093859,0.943642
41.1,,,0.9000,0.019376,60.540353,1.441999
41.2,,,0.9000,0.019518,58.484026,1.940356
41.3,,,0.9000,0.019660,53.071168,2.438713
41.4,,,0.9000,0.019802,53.554641,2.937070
41.5,,,0.9000,0.019944,56.708606,3.435427
41.6,,,0.9000,0.020086,82.380167,3.933784
41.7,,,0.9000,0.020228,85.795477,4.432141
41.8,,,0.9000,0.020370,133.325062,4.930498
41.9,,,0.9000,0.020512,131.149625,5.428856
42.0,,,0.9000,0.020654,127.505122,5.927213
42.1,,,0.9000,0.020056,126.099201,5.352809
42.2,,,0.9000,0.019458,126.880246,4.778406
42.3,,,0.9000,0.018860,125.851677,4.204003
42.4,,,0.9000,0.018262,124.824703,3.629599
42.5,,,0.9000,0.017664,68.712303,3.055196
42.6,,,0.9000,0.017066,66.648857,2.480792
42.7,,,0.9000,0.016468,66.461771,1.906389
42.8,,,0.9000,0.015870,64.659424,1.331986
42.9,,,0.9000,0.015272,63.537136,0.757582
