Time (s),RMS
707.0,0.07359229
708.0,0.06247051
709.0,0.04107369
710.0,0.03862339
711.0,0.023810145
712.0,0.081520125
713.0,0.05873769
714.0,0.0795232
715.0,0.07434839
716.0,0.017084587
717.0,0.063443646
718.0,0.023643786
719.0,0.06657966
720.0,0.058551665
721.0,0.045213506
722.0,0.06104644
723.0,0.058782503
724.0,0.03078176
725.0,0.06568847
726.0,0.0457731
727.0,0.07393748
728.0,0.0820297
729.0,0.074013285
730.0,0.04869931
731.0,0.06788811
732.0,0.048883542
733.0,0.03678275
734.0,0.06328177
735.0,0.034092594
736.0,0.0423985
737.0,0.05310348
738.0,0.032236684
739.0,0.032580327
740.0,0.043686785
741.0,0.059958614
742.0,0.034718197
743.0,0.023381418
744.0,0.034652196
745.0,0.032862738
746.0,0.01840713
747.0,0.013976156
748.0,0.010254231
749.0,0.00874529
750.0,0.012459693
751.0,0.007379605
752.0,0.020894941
753.0,0.031677317
754.0,0.008965473
755.0,0.018959621
756.0,0.028375518
757.0,0.0104820505
758.0,0.019422052
759.0,0.012958413
760.0,0.011487954
761.0,0.0102501605
762.0,0.040818535
763.0,0.041045822
764.0,0.017001234
765.0,0.025519062
766.0,0.032687623
767.0,0.008112978
768.0,0.0072367676
769.0,0.045665845
770.0,0.073051795
771.0,0.07288973
772.0,0.06537604
773.0,0.0669579
774.0,0.051924728
775.0,0.06669448
776.0,0.0707316
777.0,0.065605484
778.0,0.07912559
779.0,0.0764738
780.0,0.075874604
781.0,0.07375147
782.0,0.090759315
783.0,0.1067911
784.0,0.09272108
785.0,0.07932347
786.0,0.10491214
787.0,0.07838261
788.0,0.0716656
789.0,0.07420356
790.0,0.0994471
791.0,0.048495047
792.0,0.05648318
793.0,0.074456364
794.0,0.049063854
795.0,0.04718677
796.0,0.039623614
797.0,0.11546357
798.0,0.08438235
799.0,0.07336571
800.0,0.08726968
801.0,0.090216845
802.0,0.07885571
803.0,0.062254388
804.0,0.07675841
805.0,0.077918716
806.0,0.039716057
807.0,0.08585056
808.0,0.051322173
809.0,0.03281958
810.0,0.08077485
811.0,0.10394499
812.0,0.11513572
813.0,0.028902013
814.0,0.04842021
815.0,0.10355331
816.0,0.10794202
817.0,0.0863252
818.0,0.073945016
819.0,0.05904859
820.0,0.06881661
821.0,0.049724836
822.0,0.093431786
823.0,0.06068317
824.0,0.08919746
825.0,0.10696423
826.0,0.10129602
827.0,0.06502193
828.0,0.027333759
829.0,0.07625058
830.0,0.078239694
831.0,0.03772971
832.0,0.032263894
833.0,0.061675306
834.0,0.028100355
835.0,0.096775286
836.0,0.12285427
837.0,0.077732466
838.0,0.035739467
839.0,0.088420235
840.0,0.10652627
841.0,0.07831595
842.0,0.074880965
843.0,0.08375544
844.0,0.050794642
845.0,0.03955581
846.0,0.070189774
847.0,0.07543574
848.0,0.1016667
849.0,0.10626536
850.0,0.06032572
851.0,0.060346603
852.0,0.079805166
853.0,0.09953119
854.0,0.11084748
855.0,0.07893827
856.0,0.08349218
857.0,0.07735499
858.0,0.07123869
859.0,0.066239804
860.0,0.060115267
861.0,0.06798919
862.0,0.06631335
863.0,0.07257667
864.0,0.06621299
865.0,0.06751144
866.0,0.066716984
867.0,0.07682782
868.0,0.09397738
869.0,0.1255855
870.0,0.12976211
