Time (s),Motion
980.0,2.0623262
981.0,2.2856164
982.0,3.3301885
983.0,3.1080296
984.0,2.5234673
985.0,1.9139992
986.0,1.8228005
987.0,0.70421857
988.0,2.3458712
989.0,0.007263362
990.0,0.002289195
991.0,4.3445215
992.0,1.7831342
993.0,0.898139
994.0,4.255521
995.0,0.018317508
996.0,0.021800378
997.0,0.0022021232
998.0,4.0599666
999.0,2.299566
1000.0,0.5574544
1001.0,0.8906142
1002.0,1.019127
1003.0,6.8283415
1004.0,0.021724401
1005.0,9.495996
1006.0,6.3020015
1007.0,1.0389764
1008.0,1.1955378
1009.0,1.0809115
1010.0,0.8868685
1011.0,0.60812724
1012.0,11.745048
1013.0,1.9035633
1014.0,3.7228808
1015.0,7.230592
1016.0,3.8845382
1017.0,3.8129644
1018.0,4.841194
1019.0,3.7417848
1020.0,3.698263
1021.0,4.916525
1022.0,4.476268
1023.0,8.199206
1024.0,23.349297
1025.0,1.373526
1026.0,0.0035950688
1027.0,8.12053
1028.0,0.9871609
1029.0,1.4108853
1030.0,1.5226839
1031.0,2.729782
1032.0,3.206234
1033.0,2.7480407
1034.0,3.483191
1035.0,1.562901
1036.0,0.30415466
1037.0,0.5770085
1038.0,1.535216
1039.0,2.158207
1040.0,1.6808637
1041.0,4.418667
1042.0,7.6353045
1043.0,5.3082314
1044.0,2.8964942
1045.0,4.7529945
1046.0,5.8724413
1047.0,4.7505865
1048.0,2.8226209
1049.0,0.59781736
1050.0,1.8090101
1051.0,1.4803658
1052.0,2.3353457
1053.0,7.527525
1054.0,8.828227
1055.0,6.0288434
1056.0,2.2399492
1057.0,0.00045582178
1058.0,3.742813
1059.0,1.022781
1060.0,8.013786
1061.0,0.055601504
1062.0,0.04384899
1063.0,0.036451906
1064.0,0.96186644
1065.0,0.8928689
1066.0,4.406124
1067.0,1.4831052
1068.0,1.897202
1069.0,0.03560681
1070.0,0.5930153
1071.0,0.41707996
1072.0,0.037094653
1073.0,9.072049
1074.0,5.5054054
1075.0,2.9371727
1076.0,2.9228358
1077.0,1.71317
1078.0,0.20665593
1079.0,0.42110753
1080.0,3.8614972
1081.0,0.5737378
1082.0,0.68737805
1083.0,3.8357592
1084.0,0.1158413
1085.0,0.10542973
1086.0,1.3348016
1087.0,0.08670755
1088.0,0.1024984
1089.0,6.002928
1090.0,2.304131
1091.0,10.373649
1092.0,4.7610426
1093.0,1.9014739
1094.0,3.306189
1095.0,0.22368954
1096.0,0.27252892
1097.0,0.39229453
1098.0,1.798049
1099.0,0.4654951
1100.0,0.35297176
1101.0,3.2559915
1102.0,3.9614723
1103.0,0.35583258
1104.0,0.37832585
1105.0,0.85289294
1106.0,4.5276656
1107.0,1.0441611
1108.0,2.0260217
1109.0,1.7227379
1110.0,5.6151404
1111.0,0.6899791
1112.0,0.44691476
1113.0,0.007043354
1114.0,4.952758
1115.0,0.0234432
1116.0,0.028414147
1117.0,0.033325262
1118.0,0.10136902
1119.0,2.7614143
1120.0,0.15895683
1121.0,2.593535
1122.0,2.865221
1123.0,1.6544313
1124.0,1.6490651
1125.0,1.5708191
1126.0,1.611004
1127.0,1.5773313
1128.0,1.543233
1129.0,1.5221816
1130.0,1.5146896
1131.0,1.5533103
1132.0,1.5266072
1133.0,1.5229508
1134.0,3.960965
1135.0,4.751247
1136.0,0.03789175
1137.0,0.32376736
1138.0,0.14451967
1139.0,0.03834323
1140.0,0.15821312
1141.0,3.114313
1142.0,1.843629
1143.0,1.7988214
1144.0,1.7752783
1145.0,1.8197651
1146.0,1.9055059
1147.0,1.9830844
1148.0,2.0133748
1149.0,2.0677588
1150.0,2.1086156
1151.0,2.2809405
1152.0,2.699781
1153.0,3.249235
1154.0,3.699695
1155.0,4.49667
1156.0,5.228221
1157.0,1.2562927
1158.0,6.2765775
1159.0,0.91357577
1160.0,1.0220945
1161.0,0.73606485
1162.0,1.2008123
1163.0,0.8955356
1164.0,0.9534369
1165.0,3.827181
1166.0,0.020394338
1167.0,0.016249662
1168.0,2.0168507
1169.0,6.186082
1170.0,9.2533865
1171.0,0.3199811
1172.0,0.4431531
1173.0,0.0027989142
1174.0,0.0013599431
1175.0,6.7224526
1176.0,0.030989204
1177.0,0.015437223
1178.0,0.9141663
1179.0,8.284574
1180.0,6.0184608
1181.0,5.973191
1182.0,2.328046
1183.0,0.9367232
1184.0,3.2391343
1185.0,1.9867563
1186.0,3.5706809
1187.0,2.1653023
1188.0,1.8246636
1189.0,0.80348194
1190.0,1.1381655
1191.0,2.9931
1192.0,0.024747519
1193.0,0.38519168
1194.0,0.39688236
1195.0,1.2261376
1196.0,6.5083303
1197.0,2.3660924
1198.0,3.3593185
1199.0,4.5832934
1200.0,0.0043328865
1201.0,0.001370244
1202.0,0.4125953
1203.0,4.7745442
1204.0,6.6219563
1205.0,6.1998224
1206.0,7.208398
1207.0,4.3736596
1208.0,2.1609225
1209.0,2.232285
1210.0,2.2062287
1211.0,2.1839876
1212.0,1.705748
1213.0,17.177174
1214.0,0.21496554
1215.0,0.17372747
1216.0,0.14108005
1217.0,18.17071
1218.0,6.616161
1219.0,6.727499
1220.0,6.724456
1221.0,6.6844087
1222.0,6.6179037
1223.0,6.579621
1224.0,8.269252
1225.0,0.014879032
1226.0,0.0145570645
1227.0,0.011238783
1228.0,0.0015064799
1229.0,0.015738083
1230.0,0.015663669
1231.0,5.230898
1232.0,4.48284
1233.0,0.007048949
1234.0,5.174924
1235.0,4.1223326
1236.0,0.008332165
1237.0,0.004865408
1238.0,0.005669761
1239.0,0.0027619016
1240.0,1.1102484
1241.0,10.303984
1242.0,9.240849
1243.0,48.123676
1244.0,14.8374815
1245.0,13.477597
1246.0,14.514914
1247.0,12.802994
1248.0,11.3482065
1249.0,13.320322
1250.0,12.143098
1251.0,12.716871
1252.0,13.395341
1253.0,17.485928
1254.0,13.352962
1255.0,0.5580778
1256.0,0.012094426
1257.0,0.009052784
1258.0,0.005593211
1259.0,0.004663562
1260.0,0.0038862769
1261.0,0.004176944
1262.0,0.59832525
1263.0,2.9829588
1264.0,9.357597
1265.0,0.043328445
1266.0,0.08316411
1267.0,0.38325265
1268.0,0.15377839
1269.0,0.20631546
1270.0,0.2557585
1271.0,9.480005
1272.0,4.268826
1273.0,6.329824
1274.0,0.006641102
1275.0,0.0037840053
1276.0,0.001459347
1277.0,0.37747794
1278.0,1.3941453
1279.0,0.5906378
1280.0,0.47438273
1281.0,6.68381
1282.0,0.073734805
1283.0,17.487823
1284.0,2.456653
1285.0,6.0650034
1286.0,24.870863
1287.0,0.39413413
1288.0,12.467209
1289.0,0.011526164
1290.0,26.151678
1291.0,6.7990646
1292.0,9.048551
1293.0,8.010757
1294.0,6.6974564
1295.0,6.4372263
1296.0,6.636194
1297.0,6.762054
1298.0,17.277857
1299.0,0.02605112
1300.0,0.021166999
1301.0,0.70461285
1302.0,26.766607
1303.0,20.121635
1304.0,19.338112
1305.0,20.547377
1306.0,17.115692
1307.0,11.201448
1308.0,0.4776206
1309.0,0.4455883
1310.0,7.0912404
1311.0,7.269653
1312.0,5.3918805
1313.0,4.869463
1314.0,4.8708405
1315.0,5.049467
1316.0,5.463165
1317.0,5.844781
1318.0,8.346858
1319.0,6.444541
1320.0,6.8926044
1321.0,8.956043
1322.0,10.971677
1323.0,13.137116
1324.0,11.09517
1325.0,6.9102416
1326.0,0.0050151898
1327.0,2.137584
1328.0,3.6098905
1329.0,22.184418
1330.0,21.653723
1331.0,19.476086
1332.0,1.637944
1333.0,1.4046009
1334.0,16.56825
1335.0,8.602039
1336.0,16.002842
1337.0,14.811396
1338.0,6.119226
1339.0,4.447446
1340.0,4.4552093
1341.0,4.167764
1342.0,7.006192
1343.0,1.8476998
1344.0,1.9828919
1345.0,7.083638
1346.0,3.578641
1347.0,7.07368
1348.0,9.499036
1349.0,7.401375
1350.0,14.434045
1351.0,10.077185
1352.0,12.344073
1353.0,33.333523
1354.0,28.99651
1355.0,3.4381447
1356.0,10.284357
1357.0,3.4030387
1358.0,7.3395276
1359.0,4.742094
1360.0,3.2690976
1361.0,0.920776
1362.0,1.1581287
1363.0,14.13165
1364.0,11.682176
1365.0,19.002516
1366.0,10.527095
1367.0,3.2228622
1368.0,5.7926435
1369.0,7.256703
1370.0,12.467787
1371.0,33.502934
1372.0,4.1537967
1373.0,4.8611484
1374.0,7.583939
1375.0,6.40273
1376.0,7.122068
1377.0,8.277447
1378.0,6.9095817
1379.0,5.8456907
1380.0,5.5238304
1381.0,3.6553802
1382.0,10.561446
1383.0,3.6653826
1384.0,6.1258235
1385.0,2.017914
1386.0,2.202464
1387.0,2.1004305
1388.0,7.7425737
1389.0,10.5409355
1390.0,8.0887375
1391.0,7.686542
1392.0,7.2930355
1393.0,8.829739
